,time,amount,shares
0,2017-08-31 09:53:22.220339,"<span class=""_191t _50f5"">Mark has raised $358,332 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,454 shares</a>"
1,2017-08-31 09:54:45.149559,"<span class=""_191t _50f5"">Mark has raised $358,332 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,454 shares</a>"
2,2017-08-31 09:56:40.721798,"<span class=""_191t _50f5"">Mark has raised $358,332 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,454 shares</a>"
3,2017-08-31 09:58:18.686882,"<span class=""_191t _50f5"">Mark has raised $358,382 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,456 shares</a>"
4,2017-08-31 09:59:49.945506,"<span class=""_191t _50f5"">Mark has raised $358,407 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,456 shares</a>"
5,2017-08-31 10:01:23.370801,"<span class=""_191t _50f5"">Mark has raised $358,427 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,456 shares</a>"
6,2017-08-31 10:03:00.599455,"<span class=""_191t _50f5"">Mark has raised $358,447 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,456 shares</a>"
7,2017-08-31 10:04:50.970518,"<span class=""_191t _50f5"">Mark has raised $358,447 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,457 shares</a>"
8,2017-08-31 10:06:13.649355,"<span class=""_191t _50f5"">Mark has raised $358,447 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,457 shares</a>"
9,2017-08-31 10:08:01.829436,"<span class=""_191t _50f5"">Mark has raised $358,497 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,459 shares</a>"
10,2017-08-31 10:09:36.032762,"<span class=""_191t _50f5"">Mark has raised $358,497 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,459 shares</a>"
11,2017-08-31 10:11:01.061958,"<span class=""_191t _50f5"">Mark has raised $358,497 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,459 shares</a>"
12,2017-08-31 10:12:21.669993,"<span class=""_191t _50f5"">Mark has raised $358,597 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,459 shares</a>"
13,2017-08-31 10:13:55.253211,"<span class=""_191t _50f5"">Mark has raised $358,597 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,461 shares</a>"
14,2017-08-31 10:15:26.375616,"<span class=""_191t _50f5"">Mark has raised $358,597 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,463 shares</a>"
15,2017-08-31 10:17:01.090185,"<span class=""_191t _50f5"">Mark has raised $358,597 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,463 shares</a>"
16,2017-08-31 10:18:47.727237,"<span class=""_191t _50f5"">Mark has raised $358,727 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,463 shares</a>"
17,2017-08-31 10:20:26.112936,"<span class=""_191t _50f5"">Mark has raised $358,747 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,465 shares</a>"
18,2017-08-31 10:21:59.631900,"<span class=""_191t _50f5"">Mark has raised $358,767 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,467 shares</a>"
19,2017-08-31 10:23:43.859502,"<span class=""_191t _50f5"">Mark has raised $358,867 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,468 shares</a>"
20,2017-08-31 10:25:25.835316,"<span class=""_191t _50f5"">Mark has raised $358,977 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,471 shares</a>"
21,2017-08-31 10:26:47.934885,"<span class=""_191t _50f5"">Mark has raised $359,017 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,471 shares</a>"
22,2017-08-31 10:28:26.959217,"<span class=""_191t _50f5"">Mark has raised $359,017 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,471 shares</a>"
23,2017-08-31 10:29:54.037093,"<span class=""_191t _50f5"">Mark has raised $359,067 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,471 shares</a>"
24,2017-08-31 10:31:23.770452,"<span class=""_191t _50f5"">Mark has raised $359,157 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,471 shares</a>"
25,2017-08-31 10:33:10.664858,"<span class=""_191t _50f5"">Mark has raised $359,257 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,473 shares</a>"
26,2017-08-31 10:34:48.306495,"<span class=""_191t _50f5"">Mark has raised $359,257 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,473 shares</a>"
27,2017-08-31 10:36:32.159603,"<span class=""_191t _50f5"">Mark has raised $359,397 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,474 shares</a>"
28,2017-08-31 10:38:22.145261,"<span class=""_191t _50f5"">Mark has raised $359,457 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,476 shares</a>"
29,2017-08-31 10:40:10.841173,"<span class=""_191t _50f5"">Mark has raised $359,707 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,476 shares</a>"
30,2017-08-31 10:41:33.163526,"<span class=""_191t _50f5"">Mark has raised $359,807 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,477 shares</a>"
31,2017-08-31 10:43:08.381384,"<span class=""_191t _50f5"">Mark has raised $359,877 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,480 shares</a>"
32,2017-08-31 10:44:27.954850,"<span class=""_191t _50f5"">Mark has raised $359,877 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,481 shares</a>"
33,2017-08-31 10:46:10.710640,"<span class=""_191t _50f5"">Mark has raised $359,877 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,483 shares</a>"
34,2017-08-31 10:47:43.015631,"<span class=""_191t _50f5"">Mark has raised $360,007 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,483 shares</a>"
35,2017-08-31 10:49:27.493967,"<span class=""_191t _50f5"">Mark has raised $360,137 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,484 shares</a>"
36,2017-08-31 10:50:54.104059,"<span class=""_191t _50f5"">Mark has raised $360,257 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,484 shares</a>"
37,2017-08-31 10:52:26.349060,"<span class=""_191t _50f5"">Mark has raised $360,557 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,484 shares</a>"
38,2017-08-31 10:54:08.273948,"<span class=""_191t _50f5"">Mark has raised $360,557 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,485 shares</a>"
39,2017-08-31 10:55:57.344578,"<span class=""_191t _50f5"">Mark has raised $360,677 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,486 shares</a>"
40,2017-08-31 10:57:32.591210,"<span class=""_191t _50f5"">Mark has raised $360,777 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,486 shares</a>"
41,2017-08-31 10:59:06.362245,"<span class=""_191t _50f5"">Mark has raised $360,777 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,487 shares</a>"
42,2017-08-31 11:00:35.690239,"<span class=""_191t _50f5"">Mark has raised $360,797 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,486 shares</a>"
43,2017-08-31 11:02:08.681319,"<span class=""_191t _50f5"">Mark has raised $360,847 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,489 shares</a>"
44,2017-08-31 11:03:48.895296,"<span class=""_191t _50f5"">Mark has raised $360,967 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","<a ajaxify=""/ajax/shares/view?target_fbid=10103998949614711"" class=""UFIShareLink"" data-hover=""tooltip"" data-tooltip-uri=""/ufi/share/tooltip/?ft_ent_identifier=10103998949614711&amp;av=100000068062471"" href=""https://www.facebook.com/shares/view?id=10103998949614711"" rel=""dialog"">17,490 shares</a>"
