time,raised,shares
2017-08-29 12:04:58.000,"$31,962 ",
2017-08-29 12:06:34.000,"$32,704 ",
2017-08-29 12:07:54.000,"$33,663 ",
2017-08-29 12:09:27.000,"$34,436 ",
2017-08-29 12:10:50.000,"$35,671 ",
2017-08-29 12:12:17.000,"$35,966 ",
2017-08-29 12:13:56.000,"$37,511 ",
2017-08-29 12:15:37.000,"$40,011 ",
2017-08-29 12:17:25.000,"$40,747 ",
2017-08-29 12:18:58.000,"$41,827 ",
2017-08-29 12:20:23.000,"$44,307 ",
2017-08-29 12:22:08.000,"$45,237 ",
2017-08-29 12:23:33.000,"$46,008 ",
2017-08-29 12:25:10.000,"$47,619 ",
2017-08-29 12:26:51.000,"$48,469 ",
2017-08-29 12:28:14.000,"$48,820 ",
2017-08-29 12:29:35.000,"$49,481 ",
2017-08-29 12:31:09.000,"$50,283 ",
2017-08-29 12:32:42.000,"$50,983 ",
2017-08-29 12:34:03.000,"$51,623 ",
2017-08-29 12:35:47.557,"$52,294 ",
2017-08-29 12:37:34.027,"$53,216 ",
2017-08-29 12:39:12.167,"$54,892 ",
2017-08-29 12:40:50.951,"$55,252 ",
2017-08-29 12:42:15.593,"$56,032 ",
2017-08-29 12:44:00.552,"$56,842 ",
2017-08-29 12:45:42.038,"$57,865 ",
2017-08-29 12:47:13.644,"$58,218 ",
2017-08-29 12:49:04.154,"$58,783 ",
2017-08-29 12:50:44.611,"$59,508 ",
2017-08-29 12:52:16.378,"$60,153 ",
2017-08-29 12:53:53.160,"$60,283 ",
2017-08-29 12:55:11.727,"$60,563 ",
2017-08-29 12:57:00.403,"$61,343 ",
2017-08-29 12:58:28.603,"$61,736 ",
2017-08-29 13:00:00.708,"$62,258 ",
2017-08-29 13:01:41.144,"$63,316 ",
2017-08-29 13:03:23.377,"$63,875 ",
2017-08-29 13:04:58.478,"$64,381 ",
2017-08-29 13:06:44.837,"$65,066 ",
2017-08-29 13:08:23.355,"$65,346 ",
2017-08-29 13:09:55.181,"$65,871 ",
2017-08-29 13:11:36.297,"$67,352 ",
2017-08-29 13:13:06.409,"$70,233 ",
2017-08-29 13:14:55.118,"$81,138 ",
2017-08-29 13:16:19.653,"$91,857 ",
2017-08-29 13:17:46.063,"$98,235 ",
2017-08-29 13:19:09.594,"$98,731 ",
2017-08-29 13:20:55.263,"$99,844 ",
2017-08-29 13:22:16.308,"$100,034",
2017-08-29 13:23:47.521,"$101,494",
2017-08-29 13:25:14.723,"$102,009",
2017-08-29 13:27:03.592,"$102,754",
2017-08-29 13:28:48.001,"$103,109",
2017-08-29 13:30:27.594,"$103,834",
2017-08-29 13:31:55.700,"$104,109",
2017-08-29 13:33:22.454,"$104,244",
2017-08-29 13:34:43.696,"$104,659",
2017-08-29 13:36:16.341,"$104,954",
2017-08-29 13:37:54.180,"$105,884",
2017-08-29 13:39:44.680,"$106,424",
2017-08-29 13:41:22.471,"$107,269",
2017-08-29 13:43:02.899,"$107,829",
2017-08-29 13:44:50.077,"$108,164",
2017-08-29 13:46:29.372,"$108,684",
2017-08-29 13:48:07.813,"$109,084",
2017-08-29 13:49:39.782,"$109,539",
2017-08-29 13:51:12.916,"$110,054",
2017-08-29 13:52:56.086,"$111,055",
2017-08-29 13:54:24.522,"$111,844",
2017-08-29 13:56:07.001,"$112,724",
2017-08-29 13:57:47.364,"$113,275",
2017-08-29 13:59:12.837,"$114,155",
2017-08-29 14:00:41.746,"$114,375",
2017-08-29 14:02:12.043,"$114,858",
2017-08-29 14:03:33.162,"$115,155",
2017-08-29 14:05:11.489,"$115,859",
2017-08-29 14:06:36.025,"$116,044",
2017-08-29 14:08:19.565,"$116,449",
2017-08-29 14:09:49.265,"$116,804",
2017-08-29 14:11:20.591,"$117,003",
2017-08-29 14:13:00.538,"$117,208",
2017-08-29 14:14:23.521,"$117,690",
2017-08-29 14:15:44.552,"$118,500",
2017-08-29 14:17:18.380,"$118,830",
2017-08-29 14:18:50.299,"$119,320",
2017-08-29 14:20:40.684,"$119,930",
2017-08-29 14:22:12.776,"$120,265",
2017-08-29 14:23:44.640,"$120,650",
2017-08-29 14:25:27.741,"$121,769",
2017-08-29 14:27:11.302,"$122,400",
2017-08-29 14:28:54.675,"$123,130",
2017-08-29 14:30:45.563,"$123,435",
2017-08-29 14:32:07.994,"$123,588",
2017-08-29 14:33:51.765,"$124,018",
2017-08-29 14:35:24.906,"$124,668",
2017-08-29 14:45:06.571,"$128,633","7,081 "
2017-08-29 14:46:48.993,"$128,968","7,114 "
2017-08-29 14:48:35.482,"$129,697","7,143 "
2017-08-29 14:50:20.897,"$130,137","7,176 "
2017-08-29 14:52:02.732,"$130,623","7,211 "
2017-08-29 14:53:30.464,"$130,963","7,242 "
2017-08-29 14:55:09.975,"$131,199","7,258 "
2017-08-29 14:56:34.767,"$131,699","7,272 "
2017-08-29 14:57:58.547,"$131,729","7,287 "
2017-08-29 14:59:43.159,"$133,243","7,314 "
2017-08-29 15:01:21.829,"$133,623","7,348 "
2017-08-29 15:02:51.420,"$133,924","7,370 "
2017-08-29 15:04:30.801,"$134,454","7,388 "
2017-08-29 15:06:03.005,"$134,734","7,400 "
2017-08-29 15:07:32.609,"$134,869","7,422 "
2017-08-29 15:08:59.787,"$135,099","7,440 "
2017-08-29 15:10:34.994,"$135,219","7,458 "
2017-08-29 15:12:19.333,"$135,741","7,485 "
2017-08-29 15:15:20.545,"$136,026","7,528 "
2017-08-29 15:17:07.310,"$136,446","7,557 "
2017-08-29 15:18:39.601,"$136,637","7,576 "
2017-08-29 15:20:17.230,"$137,054","7,602 "
2017-08-29 15:21:36.706,"$137,444","7,626 "
2017-08-29 15:23:03.782,"$137,624","7,644 "
2017-08-29 15:24:36.839,"$137,827","7,662 "
2017-08-29 15:26:10.235,"$138,218","7,674 "
2017-08-29 15:27:36.632,"$138,529","7,689 "
2017-08-29 15:30:17.312,"$139,042","7,734 "
2017-08-29 15:31:57.559,"$139,253","7,755 "
2017-08-29 15:33:28.833,"$139,403","7,770 "
2017-08-29 15:35:15.216,"$139,643","7,799 "
2017-08-29 15:36:39.595,"$139,803","7,810 "
2017-08-29 15:38:22.502,"$139,928","7,828 "
2017-08-29 15:40:05.343,"$140,135","7,847 "
2017-08-29 15:41:34.496,"$140,539","7,874 "
2017-08-29 15:43:02.056,"$140,679","7,890 "
2017-08-29 15:44:36.951,"$140,724","7,912 "
2017-08-29 15:46:00.557,"$140,964","7,934 "
2017-08-29 15:47:44.700,"$141,144","7,957 "
2017-08-29 15:49:11.976,"$141,364","7,973 "
2017-08-29 15:50:35.565,"$141,824","7,996 "
2017-08-29 15:52:03.344,"$142,075","8,012 "
2017-08-29 15:53:40.271,"$142,362","8,031 "
2017-08-29 15:55:02.887,"$142,732","8,044 "
2017-08-29 15:56:39.214,"$143,083","8,061 "
2017-08-29 15:58:25.323,"$144,333","8,078 "
2017-08-29 16:00:03.996,"$144,603","8,096 "
2017-08-29 16:01:32.328,"$144,733","8,110 "
2017-08-29 16:03:01.708,"$145,073","8,127 "
2017-08-29 16:04:39.599,"$145,269","8,141 "
2017-08-29 16:06:23.250,"$145,489","8,152 "
2017-08-29 16:07:49.432,"$146,529","8,173 "
2017-08-29 16:09:39.723,"$146,769","8,188 "
2017-08-29 16:11:37.447,"$147,094","8,211 "
2017-08-29 16:13:10.219,"$147,354","8,230 "
2017-08-29 16:14:55.008,"$147,454","8,237 "
2017-08-29 16:16:44.804,"$147,575","8,257 "
2017-08-29 16:18:35.398,"$147,725","8,286 "
2017-08-29 16:20:16.690,"$149,290","8,299 "
2017-08-29 16:21:39.231,"$149,595","8,312 "
2017-08-29 16:23:04.213,"$149,958","8,334 "
2017-08-29 16:24:49.948,"$150,333","8,367 "
2017-08-29 16:26:31.309,"$150,633","8,392 "
2017-08-29 16:28:08.846,"$151,003","8,411 "
2017-08-29 16:29:59.406,"$151,268","8,435 "
2017-08-29 16:31:39.180,"$151,368","8,454 "
2017-08-29 16:33:13.840,"$151,553","8,475 "
2017-08-29 16:35:03.663,"$152,329","8,490 "
2017-08-29 16:36:53.385,"$152,714","8,507 "
2017-08-29 16:38:40.586,"$153,218","8,533 "
2017-08-29 16:40:30.241,"$153,428","8,555 "
2017-08-29 16:42:20.076,"$153,574","8,578 "
2017-08-29 16:44:03.042,"$153,864","8,595 "
2017-08-29 16:45:53.039,"$154,129","8,618 "
2017-08-29 16:47:36.121,"$154,429","8,635 "
2017-08-29 16:49:26.697,"$154,824","8,660 "
2017-08-29 16:51:06.718,"$155,252","8,688 "
2017-08-29 16:53:02.081,"$155,790","8,703 "
2017-08-29 16:54:44.463,"$156,170","8,722 "
2017-08-29 16:56:34.626,"$156,210","8,743 "
2017-08-29 16:58:21.761,"$156,313","8,757 "
2017-08-29 17:00:00.681,"$156,673","8,767 "
2017-08-29 17:01:46.817,"$156,948","8,781 "
2017-08-29 17:03:37.634,"$157,348","8,796 "
2017-08-29 17:05:10.903,"$157,663","8,809 "
2017-08-29 17:06:50.162,"$157,878","8,832 "
2017-08-29 17:08:36.580,"$158,168","8,843 "
2017-08-29 17:10:28.357,"$158,508","8,865 "
2017-08-29 17:11:59.389,"$158,668","8,880 "
2017-08-29 17:13:48.697,"$159,188","8,896 "
2017-08-29 17:15:28.345,"$159,343","8,912 "
