,time1,raised1,time2,raised2,shares,time3,raised3,shares2
89,2017-08-29 14:25:27.741127,"<span class=""_191t _50f5"">Mark has raised $121,769 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 17:44:00.959801,"<span class=""_191t _50f5"">Mark has raised $163,325 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,224 shares"
90,2017-08-29 14:27:11.302499,"<span class=""_191t _50f5"">Mark has raised $122,400 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 17:45:44.300936,"<span class=""_191t _50f5"">Mark has raised $163,690 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,224 shares"
91,2017-08-29 14:28:54.675344,"<span class=""_191t _50f5"">Mark has raised $123,130 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 17:47:17.146190,"<span class=""_191t _50f5"">Mark has raised $164,000 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,265 shares"
92,2017-08-29 14:30:45.562903,"<span class=""_191t _50f5"">Mark has raised $123,435 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 17:48:49.719068,"<span class=""_191t _50f5"">Mark has raised $164,260 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,281 shares"
93,2017-08-29 14:32:07.994105,"<span class=""_191t _50f5"">Mark has raised $123,588 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 17:50:22.294965,"<span class=""_191t _50f5"">Mark has raised $164,740 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,292 shares"
94,2017-08-29 14:33:51.764702,"<span class=""_191t _50f5"">Mark has raised $124,018 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 17:52:03.139598,"<span class=""_191t _50f5"">Mark has raised $165,070 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,314 shares"
95,2017-08-29 14:35:24.906249,"<span class=""_191t _50f5"">Mark has raised $124,668 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 17:54:12.391581,"<span class=""_191t _50f5"">Mark has raised $165,305 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,330 shares"
96,,,,,,2017-08-29 17:56:20.092099,"<span class=""_191t _50f5"">Mark has raised $165,540 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,352 shares"
97,,,,,,2017-08-29 17:57:53.232309,"<span class=""_191t _50f5"">Mark has raised $165,785 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,372 shares"
98,,,,,,2017-08-29 17:59:48.736071,"<span class=""_191t _50f5"">Mark has raised $166,080 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,397 shares"
99,,,,,,2017-08-29 18:01:31.427337,"<span class=""_191t _50f5"">Mark has raised $166,400 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,417 shares"
100,,,,,,2017-08-29 18:03:04.208490,"<span class=""_191t _50f5"">Mark has raised $166,470 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,429 shares"
101,,,,,,2017-08-29 18:04:32.186523,"<span class=""_191t _50f5"">Mark has raised $166,480 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,446 shares"
102,,,,,,2017-08-29 18:06:00.826530,"<span class=""_191t _50f5"">Mark has raised $166,557 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,459 shares"
103,,,,,,2017-08-29 18:07:33.910475,"<span class=""_191t _50f5"">Mark has raised $166,807 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,468 shares"
104,,,,,,2017-08-29 18:09:14.601309,"<span class=""_191t _50f5"">Mark has raised $166,947 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,486 shares"
105,,,,,,2017-08-29 18:10:56.713648,"<span class=""_191t _50f5"">Mark has raised $167,269 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,508 shares"
106,,,,,,2017-08-29 18:12:51.422676,"<span class=""_191t _50f5"">Mark has raised $167,527 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,526 shares"
107,,,,,,2017-08-29 18:14:38.951202,"<span class=""_191t _50f5"">Mark has raised $167,812 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,546 shares"
108,,,,,,2017-08-29 18:16:29.090414,"<span class=""_191t _50f5"">Mark has raised $167,985 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,561 shares"
109,,,,,,2017-08-29 18:25:39.673837,,"9,772 shares"
110,,,,,,2017-08-29 18:37:24.684240,"<span class=""_191t _50f5"">Mark has raised $172,539 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,789 shares"
111,,,,,,2017-08-29 18:39:11.422207,"<span class=""_191t _50f5"">Mark has raised $172,617 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,802 shares"
112,,,,,,2017-08-29 18:40:53.839422,"<span class=""_191t _50f5"">Mark has raised $173,007 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,824 shares"
113,,,,,,2017-08-29 18:42:33.164425,"<span class=""_191t _50f5"">Mark has raised $173,382 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,836 shares"
114,,,,,,2017-08-29 18:44:06.612718,"<span class=""_191t _50f5"">Mark has raised $173,752 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,850 shares"
115,,,,,,2017-08-29 18:45:44.165451,"<span class=""_191t _50f5"">Mark has raised $173,895 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,866 shares"
116,,,,,,2017-08-29 18:47:11.634988,"<span class=""_191t _50f5"">Mark has raised $174,150 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,889 shares"
117,,,,,,2017-08-29 18:49:09.409256,"<span class=""_191t _50f5"">Mark has raised $175,180 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,910 shares"
118,,,,,,2017-08-29 18:50:53.410177,"<span class=""_191t _50f5"">Mark has raised $175,180 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,927 shares"
119,,,,,,2017-08-29 18:52:39.887566,"<span class=""_191t _50f5"">Mark has raised $175,350 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,942 shares"
120,,,,,,2017-08-29 18:54:33.357649,"<span class=""_191t _50f5"">Mark has raised $175,425 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,960 shares"
121,,,,,,2017-08-29 18:56:16.969168,"<span class=""_191t _50f5"">Mark has raised $175,627 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,971 shares"
122,,,,,,2017-08-29 18:57:57.813292,"<span class=""_191t _50f5"">Mark has raised $175,937 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,984 shares"
123,,,,,,2017-08-29 18:59:32.840298,"<span class=""_191t _50f5"">Mark has raised $176,022 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","9,997 shares"
124,,,,,,2017-08-29 19:00:58.828337,"<span class=""_191t _50f5"">Mark has raised $176,182 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,010 shares"
125,,,,,,2017-08-29 19:02:28.274541,"<span class=""_191t _50f5"">Mark has raised $176,272 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,022 shares"
126,,,,,,2017-08-29 19:03:58.177112,"<span class=""_191t _50f5"">Mark has raised $176,298 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,040 shares"
127,,,,,,2017-08-29 19:05:53.464991,"<span class=""_191t _50f5"">Mark has raised $176,503 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,056 shares"
128,,,,,,2017-08-29 19:07:28.004966,"<span class=""_191t _50f5"">Mark has raised $176,723 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,070 shares"
129,,,,,,2017-08-29 19:09:00.971540,"<span class=""_191t _50f5"">Mark has raised $177,058 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,094 shares"
130,,,,,,2017-08-29 19:10:58.049642,"<span class=""_191t _50f5"">Mark has raised $177,653 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,107 shares"
131,,,,,,2017-08-29 19:12:33.196738,"<span class=""_191t _50f5"">Mark has raised $177,733 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,123 shares"
132,,,,,,2017-08-29 19:14:24.201861,"<span class=""_191t _50f5"">Mark has raised $177,823 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,138 shares"
133,,,,,,2017-08-29 19:16:04.595168,"<span class=""_191t _50f5"">Mark has raised $178,383 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,153 shares"
134,,,,,,2017-08-29 19:17:38.634804,"<span class=""_191t _50f5"">Mark has raised $178,509 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,170 shares"
135,,,,,,2017-08-29 19:19:26.077434,"<span class=""_191t _50f5"">Mark has raised $178,779 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,187 shares"
136,,,,,,2017-08-29 19:21:21.604529,"<span class=""_191t _50f5"">Mark has raised $179,289 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,201 shares"
137,,,,,,2017-08-29 19:22:54.006685,"<span class=""_191t _50f5"">Mark has raised $179,669 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,225 shares"
138,,,,,,2017-08-29 19:24:53.068259,"<span class=""_191t _50f5"">Mark has raised $179,932 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,241 shares"
139,,,,,,2017-08-29 19:26:30.831972,"<span class=""_191t _50f5"">Mark has raised $180,282 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,262 shares"
140,,,,,,2017-08-29 19:28:09.696778,"<span class=""_191t _50f5"">Mark has raised $180,447 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,274 shares"
141,,,,,,2017-08-29 19:29:47.792757,"<span class=""_191t _50f5"">Mark has raised $180,727 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,289 shares"
142,,,,,,2017-08-29 19:31:22.841226,"<span class=""_191t _50f5"">Mark has raised $180,967 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,303 shares"
143,,,,,,2017-08-29 19:33:08.923351,"<span class=""_191t _50f5"">Mark has raised $181,434 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,323 shares"
144,,,,,,2017-08-29 19:34:55.647152,"<span class=""_191t _50f5"">Mark has raised $181,557 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,339 shares"
145,,,,,,2017-08-29 19:36:38.328902,"<span class=""_191t _50f5"">Mark has raised $181,652 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,368 shares"
146,,,,,,2017-08-29 19:38:33.660542,"<span class=""_191t _50f5"">Mark has raised $181,730 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,388 shares"
147,,,,,,2017-08-29 19:40:26.230320,"<span class=""_191t _50f5"">Mark has raised $181,895 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,409 shares"
148,,,,,,2017-08-29 19:42:21.350882,"<span class=""_191t _50f5"">Mark has raised $182,140 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,426 shares"
149,,,,,,2017-08-29 19:43:58.963002,"<span class=""_191t _50f5"">Mark has raised $182,505 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,442 shares"
150,,,,,,2017-08-29 19:45:42.948359,"<span class=""_191t _50f5"">Mark has raised $182,920 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,458 shares"
151,,,,,,2017-08-29 19:47:33.784636,"<span class=""_191t _50f5"">Mark has raised $183,427 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,467 shares"
152,,,,,,2017-08-29 19:49:43.987655,"<span class=""_191t _50f5"">Mark has raised $183,777 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,494 shares"
153,,,,,,2017-08-29 19:51:15.436252,"<span class=""_191t _50f5"">Mark has raised $184,267 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,511 shares"
154,,,,,,2017-08-29 19:52:45.692096,"<span class=""_191t _50f5"">Mark has raised $184,447 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,529 shares"
155,,,,,,2017-08-29 19:54:30.010030,"<span class=""_191t _50f5"">Mark has raised $184,727 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,548 shares"
156,,,,,,2017-08-29 19:56:17.735211,"<span class=""_191t _50f5"">Mark has raised $184,827 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,575 shares"
157,,,,,,2017-08-29 19:58:14.612869,"<span class=""_191t _50f5"">Mark has raised $184,927 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,582 shares"
158,,,,,,2017-08-29 19:59:35.953705,"<span class=""_191t _50f5"">Mark has raised $185,172 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,598 shares"
159,,,,,,2017-08-29 20:01:11.800584,"<span class=""_191t _50f5"">Mark has raised $185,372 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,610 shares"
160,,,,,,2017-08-29 20:02:45.851701,"<span class=""_191t _50f5"">Mark has raised $185,747 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,636 shares"
161,,,,,,2017-08-29 20:04:18.714363,"<span class=""_191t _50f5"">Mark has raised $185,877 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,649 shares"
162,,,,,,2017-08-29 20:05:53.357762,"<span class=""_191t _50f5"">Mark has raised $186,807 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,672 shares"
163,,,,,,2017-08-29 20:07:41.843427,"<span class=""_191t _50f5"">Mark has raised $187,307 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,690 shares"
164,,,,,,2017-08-29 20:09:24.296944,"<span class=""_191t _50f5"">Mark has raised $187,603 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,706 shares"
165,,,,,,2017-08-29 20:11:06.197373,"<span class=""_191t _50f5"">Mark has raised $187,863 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,720 shares"
166,,,,,,2017-08-29 20:12:35.609697,"<span class=""_191t _50f5"">Mark has raised $188,103 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,740 shares"
167,,,,,,2017-08-29 20:14:07.992860,"<span class=""_191t _50f5"">Mark has raised $190,408 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,755 shares"
168,,,,,,2017-08-29 20:15:35.815616,"<span class=""_191t _50f5"">Mark has raised $190,548 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","10,769 shares"
