,time1,raised1,time2,raised2,shares,time3,raised3,shares2
14,2017-08-29 12:26:50.519100,"<span class=""_191t _50f5"">Mark has raised $48,469 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",2017-08-29 15:07:32.609442,"<span class=""_191t _50f5"">Mark has raised $134,869 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","7,422 shares",2017-08-29 15:38:22.501983,"<span class=""_191t _50f5"">Mark has raised $139,928 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","7,828 shares"
15,2017-08-29 12:28:13.652605,"<span class=""_191t _50f5"">Mark has raised $48,820 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",2017-08-29 15:08:59.787375,"<span class=""_191t _50f5"">Mark has raised $135,099 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","7,440 shares",2017-08-29 15:40:05.343377,"<span class=""_191t _50f5"">Mark has raised $140,135 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","7,847 shares"
16,2017-08-29 12:29:34.739833,"<span class=""_191t _50f5"">Mark has raised $49,481 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",2017-08-29 15:10:34.994097,"<span class=""_191t _50f5"">Mark has raised $135,219 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","7,458 shares",2017-08-29 15:41:34.496464,"<span class=""_191t _50f5"">Mark has raised $140,539 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","7,874 shares"
17,2017-08-29 12:31:09.052825,"<span class=""_191t _50f5"">Mark has raised $50,283 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",2017-08-29 15:12:19.333460,"<span class=""_191t _50f5"">Mark has raised $135,741 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","7,485 shares",2017-08-29 15:43:02.056231,"<span class=""_191t _50f5"">Mark has raised $140,679 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","7,890 shares"
18,2017-08-29 12:32:42.304893,"<span class=""_191t _50f5"">Mark has raised $50,983 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 15:44:36.950698,"<span class=""_191t _50f5"">Mark has raised $140,724 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","7,912 shares"
19,2017-08-29 12:34:03.045890,"<span class=""_191t _50f5"">Mark has raised $51,623 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 15:46:00.556746,"<span class=""_191t _50f5"">Mark has raised $140,964 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","7,934 shares"
20,2017-08-29 12:35:47.556807,"<span class=""_191t _50f5"">Mark has raised $52,294 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 15:47:44.699841,"<span class=""_191t _50f5"">Mark has raised $141,144 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","7,957 shares"
21,2017-08-29 12:37:34.026936,"<span class=""_191t _50f5"">Mark has raised $53,216 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 15:49:11.976485,"<span class=""_191t _50f5"">Mark has raised $141,364 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","7,973 shares"
22,2017-08-29 12:39:12.166673,"<span class=""_191t _50f5"">Mark has raised $54,892 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 15:50:35.564692,"<span class=""_191t _50f5"">Mark has raised $141,824 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","7,996 shares"
23,2017-08-29 12:40:50.951250,"<span class=""_191t _50f5"">Mark has raised $55,252 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>",,,,2017-08-29 15:52:03.344311,"<span class=""_191t _50f5"">Mark has raised $142,075 for <b><a data-hovercard=""/ajax/hovercard/hovercard.php?id=1192850004150047"" data-hovercard-prefer-more-content-show=""1"" href=""https://www.facebook.com/funds4disaster/"">Center for Disaster Philanthropy</a></b>.</span>","8,012 shares"
